"id","employer_name","current_job_type","suggested_job_type","reason","description"
"d8dadce7-c113-449a-ac5d-b0952e7d2313","Kulkarni Placement","Warehouse Worker","Supervisor","Description says Store Manager, which is a management/supervisory role, not warehouse work","Store Manager."
"dd5ecc4a-7975-418b-a9d9-9eec0854c6b9","Monali","Graphic Designer","Social Media Manager","Role is social media channel management and SEO/post handling, not graphic design","Service industry 
Digital marketing 
Qualification gratuate bcom 
Experience 1 years 
Role responsibility 
Social media channels add ,SOE  Handling, Preparing Post adds etc
Gender male or female 
Salary 17-22k 
Job timing - general and shifts 
Job location - bhumkar chowk road wakad pune
Intrested candidate please call me 
8329649896"
"98fd501c-8a0f-42ff-bc7b-5a8e6248526b","Kulkarni Tushar","Waiter","Kitchen Helper","Hospital canteen job is kitchen/food support, not a restaurant waiter role","हॉस्पिटल कॅन्टीन. पुरुष/महिला."
"3f64dee4-9bdb-4dff-aab8-483afebbdfd2","Bhimsen Patil","Sales","Marketing","Description says Marketing Assistant, not a sales role","Marketing Assistant. Salary as per interview. दुसरा संपर्क: 9503716272."
"4803b347-1b96-442f-83fe-aa5486a71dbc","Forvision tech Pvt ltd","Office Assistant","Business Development","Description lists Business Development as a key responsibility alongside data management","Data management 
Customer and client handling 
Training management 
Portal handling 
Business development"
"75001f35-bb74-4459-9289-9c97382b9a78","Shubham Randive","Marketing","Social Media Manager","Role is specifically social media marketing on Facebook and WhatsApp","Social media marketing on facebook and whatsapp of Mahajob website."
"672d00ee-ffb4-4457-81e1-011adf54e87d","Vishal Koli","Sales","Shop Assistant","Role is in-shop salesman at a mobile accessories shop, not field sales","📢 Job Vacancy – Mobile Accessories Shop (Sangli)

Mobile accessories shop साठी smart आणि active salesman हवा आहे.

✔ Customer handling skill असणे आवश्यक
✔ Mobile accessories ची basic knowledge असेल तर चांगले
✔ Freshers पण चालतील (training दिली जाईल)

💰 Salary 10k-15k+ Daily Sales Incentive
📍 Location: Sangli

Interested असाल तर call / WhatsApp करा.
Contact - 8484866757"
"1ed7ec8b-84ab-4543-a692-b3a8687bce37","Sunil Kamble","Computer Operator","Data Entry","Description says Data Entry Operator specifically, not general computer operation","Data Entry Operator. 9 hrs duty. Age 20-50. PF + ESIC + Bonus. राहणे व जेवणाची सोय आहे."
"5ae967eb-b8a9-41fc-ad13-27bc3926385f","Sunil Nikam","Operator","CNC Operator","Description explicitly says CNC/VMC/VTL machine operator, CNC Operator is the specific type","CNC / VMC / VTL मशीन ऑपरेटर. दहावी/बारावी/ITI फ्रेशर पाहिजेत. कोल्हापूर व सांगली येथे जागा उपलब्ध."
"2e5906f0-dae8-472a-a8e3-30fb837b9d60","Sumaiya Shaikh","Bank Staff","Collection Agent","Role is pygmy/daily collection agent, not bank staff in a branch","Pygmy Collection Agent. दैनंदिन पिग्मी वसुली. तयार कस्टमर - नवीन शोधण्याची गरज नाही. दररोज निश्चित कलेक्शन. आकर्षक कमिशन. मेहनतीनुसार वाढती कमाई."
